Assembly Accession	Assembly BioSample Geographic location	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Isolation source	Assembly Stats GC Percent	Assembly Stats Total Sequence Length	Organelle Assembly Name	Organism Name	Organism Taxonomic ID	Annotation Count Gene Protein-coding
GCF_007965585.1	USA: Ohio	Bos taurus		lungs	41	2691220		Mannheimia haemolytica	75985	2586
GCF_007965745.1	USA: Minnesota	Bos taurus		lungs	41	2746074		Mannheimia haemolytica	75985	2678
GCF_007965905.1	USA: North Carolina	Bos taurus		lungs	41	2749831		Mannheimia haemolytica	75985	2663
GCF_007966105.1	USA: California	Bos taurus		lungs	41	2694017		Mannheimia haemolytica	75985	2601
GCF_007974085.1	USA: Kansas	Bos taurus		nasopharynx	41	2646006		Mannheimia haemolytica	75985	2541
GCF_007975225.1	USA: Kansas	Bos taurus		nasopharynx	41	2645998		Mannheimia haemolytica	75985	2537
GCF_007975765.1	USA: Kansas	Bos taurus		lungs	41	2697513		Mannheimia haemolytica	75985	2590
GCF_007976025.1	USA: Kansas	Bos taurus		nasopharynx	41	2727453		Mannheimia haemolytica	75985	2656
GCF_007976245.1	USA: Kentucky	Bos taurus		nasopharynx	41	2727499		Mannheimia haemolytica	75985	2656
GCF_007978505.1	USA: Missouri	Bos taurus		nasopharynx	41	2689760		Mannheimia haemolytica	75985	2604
GCF_007978725.1	USA: Florida	Bos taurus		lungs	41	2753890		Mannheimia haemolytica	75985	2689
GCF_007978905.1	USA: California	Bos taurus		lungs	41	2729419		Mannheimia haemolytica	75985	2644
GCF_007979225.1	USA: Texas	Bos taurus		lungs	41	2640172		Mannheimia haemolytica	75985	2527
GCF_007979365.1	USA: Arkansas	Bos taurus		lungs	41	2732072		Mannheimia haemolytica	75985	2648
GCF_007979905.1	USA: Louisiana	Bos taurus		lungs	41	2683719		Mannheimia haemolytica	75985	2594
GCF_007980045.1	Canada: Saskatchewan	Bos taurus		lungs	41	2682488		Mannheimia haemolytica	75985	2594
GCF_007980145.1	Canada: Saskatchewan	Bos taurus		lungs	41	2661933		Mannheimia haemolytica	75985	2558
GCF_007980285.1	USA: New York	Bos taurus		lungs	41	2644838		Mannheimia haemolytica	75985	2543
GCF_007980445.1	USA: New York	Bos taurus		lungs	41	2678163		Mannheimia haemolytica	75985	2576
GCF_007980645.1	Canada: Alberta	Bos taurus		lungs	41	2751417		Mannheimia haemolytica	75985	2682
GCF_007980785.1	USA: Colorado	Bos taurus		lungs	41	2635019		Mannheimia haemolytica	75985	2526
GCF_007980905.1	USA: Kansas	Bos taurus		lungs	41	2813771		Mannheimia haemolytica	75985	2777
GCF_007980965.1	USA: South Dakota	Bos taurus		lungs	41	2683820		Mannheimia haemolytica	75985	2587
GCF_007980985.1	USA: New York	Bos taurus		lungs	41	2739171		Mannheimia haemolytica	75985	2655
GCF_007981005.1	USA: Vermont	Bos taurus		lungs	41	2699449		Mannheimia haemolytica	75985	2605
GCF_007981025.1	USA: Wisconsin	Bos taurus		lungs	41	2819195		Mannheimia haemolytica	75985	2776
GCF_007981045.1	USA: North Carolina	Bos taurus		lungs	41	2746224		Mannheimia haemolytica	75985	2670
GCF_008033135.1	China			soil	63.5	4325960		Chitinolyticbacter meiyuanensis	682798	4091
GCF_008085775.1	Canada: Alberta	Cattle		tissue sample from feedlot cattle	37	2110729		Histophilus somni	731	1863
GCF_008370855.1	China: HangZhou			activated sludge	62	3673306		Glutamicibacter sp. ZJUTW	1155384	3372
GCF_008586745.1	Brazil: Promissao	Homo sapiens	Brazilian Purpuric Fever (BPF)	Skin (Petechiae)	38	1985844		Haemophilus influenzae biotype aegyptius	725	1880
GCF_008586805.1	Brazil: Guatapar	Homo sapiens	Brazilian Purpuric Fever (BPF)	blood	38	1987687		Haemophilus influenzae biotype aegyptius	725	1870
GCF_008586825.1	Brazil: Fartura	Homo sapiens	Brazilian Purpuric Fever (BPF)	CSF	38	1984979		Haemophilus influenzae biotype aegyptius	725	1880
GCF_008632635.1	Malaysia			soil	39	3980230		Acinetobacter baumannii	470	3600
GCF_008727315.1	missing	missing	missing	missing	31.5	1715182		Campylobacter coli	195	1702
GCF_008727495.1	missing	missing	missing	missing	31	1849190		Campylobacter coli	195	1813
GCF_008831525.1	USA: Pittsburgh, PA	Homo sapiens	otitis media	middle ear fluid	38	1887343		Haemophilus influenzae	727	1722
GCF_009455505.1	India	Homo sapiens	NA	NA	39	4092125		Acinetobacter baumannii	470	3752
GCF_009707445.1	China: Sichuan	swine			40	2349014		Glaesserella parasuis	738	2213
GCF_009733885.1	USA			Not applicable	28	3903111		Clostridium botulinum	1491	3538
GCF_009738145.1	China: NanTong			pig manure	50.5	5034814		Escherichia coli	562	4546
GCF_009797025.1	Arctic Ocean	brown algae		beach	34	5072468		Cellulophaga sp. L1A9	2686362	4411
GCF_011044355.1	China:Hangzhou	Homo sapiens	urinary tract infection	urine	50.5	5260133		Escherichia coli	562	4886
GCF_011455495.1	Denmark	Dog			42.5	2136304		Frederiksenia canicola	123824	1960
GCF_011455695.1	Sweden	Deer			40	2278480		Mannheimia granulomatis	85402	2078
GCF_012161415.1	USA	Homo sapiens	Missing	Missing	50	5089923		Escherichia albertii	208962	4681
GCF_012844365.1	Pacific Ocean			sediment	65	4167127		Brevibacterium sp. 'Marine'	2725563	3643
GCF_013201605.1	Chile: Valdivia			Wild bird feces	29	1644930		Campylobacter ornithocola	1848766	1599
GCF_013285285.1	China: Henan	swine		China	39.5	2570730		Glaesserella parasuis	738	2309
GCF_013372185.1	United Kingdom			Herring gull, cloacal swab	30	1513347		Campylobacter lari subsp. lari	650054	1507
GCF_013372205.1	United Kingdom			Pig, small intestine	36.5	1773478		Campylobacter mucosalis	202	1787
GCF_013389555.1	USA: Iowa	Gallus gallus	None	cecal contents of broiler chicken	30.5	1665565		Campylobacter jejuni	197	1599
GCF_013389575.1	USA: Kansas	Gallus gallus	None	cecal contents of broiler chicken	30.5	1686644		Campylobacter jejuni	197	1615
GCF_013393785.1	Czech Republic: Brno	Homo sapiens	Campylobacter enteritis	feces	30.5	1765444		Campylobacter jejuni subsp. jejuni	32022	1706
GCF_013465595.1	Peru: Lima	Homo sapiens	Guillain Barre Syndrome	stool	30.5	1627624		Campylobacter jejuni subsp. jejuni	32022	1567
GCF_013465795.1	Peru: Lima	Homo sapiens	Guillain Barre Syndrome	stool	30.5	1627622		Campylobacter jejuni subsp. jejuni	32022	1565
GCF_013466015.1	Peru: Lima	Homo sapiens	Guillain Barre Syndrome	stool	30.5	1627623		Campylobacter jejuni subsp. jejuni	32022	1567
GCF_013466235.1	Peru: Lima	Homo sapiens	Guillain Barre Syndrome	stool	30.5	1627620		Campylobacter jejuni subsp. jejuni	32022	1564
GCF_013882995.1	United Kingdom			Pooled sheep faecal samples collected from floor of farm	52.5	4696854		Citrobacter freundii	546	4267
GCF_013883595.1	United Kingdom			Pooled sheep faecal samples collected from floor of farm	52.5	4692130		Citrobacter freundii	546	4263
GCF_014068615.1	Canada: Toronto			Carrot juice	28	3918289		Clostridium botulinum	1491	3515
GCF_014169915.1	Japan:Tokyo				50.5	5335413		Escherichia coli	562	4869
GCF_014656605.1	Australia	Homo sapiens	Hemolytic-Uremic Syndrome	feces	50.5	5037044		Escherichia coli	562	4638
GCF_014672815.1	China			soil	62	3727550		Glutamicibacter nicotianae	37929	3423
GCF_014701215.1	Japan:Hyogo, Tamba, Hikami	Homo sapiens			38	1809645		Haemophilus influenzae	727	1642
GCF_014788985.1	China: Yangzhou			pond	63	5230650		Chromobacterium haemolyticum	394935	4728
GCF_014789345.1	USA: Cincinnati, Ohio			drinking water	38.5	3641971		Legionella pneumophila subsp. pneumophila	91891	3195
GCF_014931215.1	USA	missing	missing	missing	31.5	1609500		Campylobacter sp. 2014D-0216	1813595	1543
GCF_014931275.1	Australia: Melbourne	Homo sapiens	Cystic fibrosis	cough swab	39.5	2018144		Haemophilus parainfluenzae	729	1847
GCF_014931495.1	Australia: Melbourne	Homo sapiens	Cystic fibrosis	cough swab	38	1894676		Haemophilus influenzae	727	1745
GCF_015218525.1	China: Hainan	Pig	not applicable	feces	40.5	3719244		Acinetobacter sp. YH12138	2601122	3411
GCF_015245165.1	USA			Field Isolate	30.5	1601863		Campylobacter jejuni	197	1550
GCF_015832095.1	China: Jiangsu	swine		lungs of sick piglets	40	2279268		Glaesserella parasuis	738	2017
GCF_016127155.1	Germany: Braunschweig	missing	Unknown	missing	68.5	3851300		Brevibacterium casei	33889	3364
GCF_016455325.1	Canada: Alberta	Cattle		Tissue	37.5	2183458		Histophilus somni	731	1934
GCF_016458845.1	missing			missing	30.5	1694669		Campylobacter jejuni	197	1682
GCF_016726245.1	Germany: Braunschweig	missing	Unknown	missing	68	3846862		Brevibacterium casei	33889	3378
GCF_016726265.1	Germany: Braunschweig	missing	Unknown	missing	30	1513367		Campylobacter lari	201	1504
GCF_016748925.1	Peru	Homo sapiens	Stomach Diseases	String method	39	1651043		Helicobacter pylori	210	1468
GCF_016755655.1	Peru	Homo sapiens	Stomach Diseases	String method	39	1567616		Helicobacter pylori	210	1406
GCF_016755695.1	Peru	Homo sapiens	Stomach Diseases	String method	39	1612861		Helicobacter pylori	210	1431
GCF_016755715.1	Peru	Homo sapiens	Stomach Diseases	String method	39	1592792		Helicobacter pylori	210	1431
GCF_016755775.1	Peru	Homo sapiens	Stomach Diseases	String method	39	1611185		Helicobacter pylori	210	1435
GCF_016757575.1	Peru	Homo sapiens	Stomach Diseases	String method	39	1609650		Helicobacter pylori	210	1437
GCF_016798345.1	Germany: Grieben			fecal sample of cattle	28	3815652		Clostridium botulinum	1491	3424
GCF_016811995.1	China:Jinan			water	52.5	4710468		Citrobacter sp. R56	1573676	4271
GCF_016838665.1	USA:CA	Homo sapiens	Infant Botulism	infant stool	28	4090796		Clostridium botulinum	1491	3785
GCF_016845695.1	China: Hubei	swine			40	2436327		Glaesserella parasuis	738	2238
GCF_016861285.1	Japan:Tokyo				38	1852308		Haemophilus influenzae	727	1709
GCF_016864335.2	France: Sens	Homo sapiens	Colonization	Catheter	39.5	3898510		Acinetobacter baumannii	470	3477
GCF_016888985.1	USA:MD	missing	Unknown	missing	65	4808040		Chromobacterium violaceum	536	4430
GCF_016890085.1	USA:MD	missing	Unknown	missing	65	4808040		Chromobacterium violaceum	536	4429
GCF_016894325.1	China:Jinan			water	64	3933924		Glutamicibacter protophormiae	37930	3566
GCF_016903215.1	USA:MD	missing	Unknown	missing	39	3898281		Acinetobacter baumannii	470	3556
GCF_016904715.2	China: Yunan	Yunnan	not applicable	Bat	50	5050051		Escherichia albertii	208962	4690
GCF_016904735.2	China: Yunan	Yunnan	not applicable	Bat	50	5050052		Escherichia albertii	208962	4690
GCF_017098225.2	China: Wuhan, Hubei	Homo sapiens	not collected	abdominal fluid	39	4224622		Acinetobacter baumannii	470	3922
GCF_017352255.1	China: Henan	swine	pleurisy	pig	40	2357562		Glaesserella parasuis	738	2120
GCF_017352295.1	China: Jiangxi	swine	pleurisy	pig	40	2440553		Glaesserella parasuis	738	2260
GCF_017356685.1	USA: California	Homo sapiens	Guillain-Barre Syndrome	not collected	30.5	1629092		Campylobacter jejuni	197	1562
GCF_017356745.1	Japan	Homo sapiens	Guillain-Barre Syndrome	not collected	30.5	1670938		Campylobacter jejuni	197	1645
GCF_017356765.1	Mexico	Homo sapiens	Guillain-Barre Syndrome	not collected	30.5	1638880		Campylobacter jejuni	197	1600
GCF_017356785.1	Netherlands	Homo sapiens	Campylobacter gastroenteritis	not collected	30.5	1664509		Campylobacter jejuni	197	1627
GCF_017356805.1	Netherlands	Homo sapiens	Guillain-Barre Syndrome	not collected	30.5	1666513		Campylobacter jejuni	197	1642
GCF_017356825.1	Netherlands	Homo sapiens	Campylobacter gastroenteritis	not collected	30.5	1627008		Campylobacter jejuni	197	1578
GCF_017356845.1	Netherlands	Homo sapiens	Campylobacter gastroenteritis	not collected	30.5	1627412		Campylobacter jejuni	197	1575
GCF_017356865.1	Netherlands: Bonaire	Homo sapiens	Guillain-Barre Syndrome	not collected	30.5	1619314		Campylobacter jejuni	197	1581
GCF_017356885.1	Netherlands	Homo sapiens	Guillain-Barre Syndrome	not collected	30.5	1625711		Campylobacter jejuni	197	1576
GCF_017356905.1	Netherlands	Homo sapiens	Campylobacter gastroenteritis	not collected	30.5	1625802		Campylobacter jejuni	197	1580
GCF_017356925.1	Netherlands	Homo sapiens	Guillain Barré Syndrome	feces	30.5	1626008		Campylobacter jejuni subsp. jejuni	32022	1577
GCF_017356945.1	Netherlands	Homo sapiens	Guillain-Barre Syndrome	not collected	30.5	1625508		Campylobacter jejuni	197	1578
GCF_017356965.1	Netherlands	Homo sapiens	Campylobacter gastroenteritis	not collected	30.5	1637100		Campylobacter jejuni	197	1595
GCF_017357025.1	USA: Florida	Homo sapiens	Guillain-Barre Syndrome	not collected	30.5	1694668		Campylobacter jejuni	197	1683
GCF_017357085.1	Netherlands	Homo sapiens	Guillain Barré Syndrome	feces	30.5	1676753		Campylobacter jejuni subsp. jejuni	32022	1636
GCF_017948325.1	Atlantic Ocean			sediment	65.5	4304299		Brevibacterium oceani	358099	3730
GCF_018137945.1	China:South Sea			coral	68.5	3861567		Brevibacterium sp. W7.2	2823518	3379
GCF_018176755.1	China:Fujian			anal swab	30	1871124		Campylobacter jejuni	197	1797
GCF_018831605.1	Chile: Puerto Aldea	Heterostera chilensis		Current Humbolt system	62.5	4325922		Cobetia sp. 4B	2758724	3439
GCF_019046965.1	Germany: Braunschweig	missing	Unknown	missing	39	3838032		Acinetobacter pittii	48296	3478
GCF_019048465.1	Germany: Braunschweig	missing	Unknown	missing	58.5	2749646		Jonesia denitrificans	43674	2488
GCF_019703575.1	Japan:Shizuoka	Homo sapiens			38	1816076		Haemophilus influenzae	727	1627
GCF_019703595.1	Japan:Fukuoka	Homo sapiens			38	1914722		Haemophilus influenzae	727	1769
GCF_019703615.1	Japan:Okinawa	Homo sapiens			38	1810977		Haemophilus influenzae	727	1630
GCF_019703655.1	Japan:Nagasaki	Homo sapiens			38	1822115		Haemophilus influenzae	727	1639
GCF_019703675.1	Japan:Kagoshima	Homo sapiens			38	1884503		Haemophilus influenzae	727	1742
GCF_019703695.1	Japan:Chiba	Homo sapiens			38	1911890		Haemophilus influenzae	727	1802
GCF_019703735.1	Japan:Kagoshima	Homo sapiens			38	1882642		Haemophilus influenzae	727	1737
GCF_019703755.1	Japan:Okinawa	Homo sapiens			38	1953394		Haemophilus influenzae	727	1817
GCF_019703775.1	Japan:Kagoshima	Homo sapiens			38	1790924		Haemophilus influenzae	727	1657
GCF_019703795.1	Japan:Chiba	Homo sapiens			38	1936686		Haemophilus influenzae	727	1793
GCF_019930705.1	Germany: Braunschweig	missing	Unknown	missing	38	1902597		Haemophilus influenzae	727	1762
GCF_019930765.1	Germany: Braunschweig	missing	Unknown	missing	38.5	3409142		Legionella pneumophila	446	2972
GCF_019967875.1	China:henan	Chicken			31.5	1702386		Campylobacter coli	195	1706
GCF_020042445.1	China:henan			chicken	31.5	1709062		Campylobacter coli	195	1718
GCF_020042525.1	China:henan			chicken	31.5	1708852		Campylobacter coli	195	1715
GCF_020042605.1	China:henan			chicken	31.5	1708465		Campylobacter coli	195	1721
GCF_020143085.2	USA	Macaca mulatta		feces	31	1808117		Campylobacter coli	195	1760
GCF_020271605.1	China: Nantong, jiangsu province			a feces sample of chicken origin	39	4062322		Acinetobacter baumannii	470	3668
GCF_020510665.1	Germany: west of Rottenburg an der Laaber				58.5	3457400		Dechloromonas denitrificans	281362	3174
GCF_020616475.1	China: Wenzhou	Homo sapiens			50.5	5168626		Escherichia coli	562	4718
GCF_020718705.1	Peru: Lima	Homo sapiens	Diarrhoea	stool	30.5	1666509		Campylobacter jejuni	197	1611
GCF_020718885.1	Peru: Loreto	Homo sapiens	Diarrhoea	stool	30.5	1666109		Campylobacter jejuni	197	1612
GCF_020719285.1	Peru: Lima	Homo sapiens	Guillain-Barr Syndrome	Fecal swab	30.5	1627623		Campylobacter jejuni	197	1568
GCF_020719435.1	Peru: Lima	Homo sapiens	Guillain-Barr Syndrome	Fecal swab	30.5	1627618		Campylobacter jejuni	197	1568
GCF_020719565.1	Peru: Loreto	Homo sapiens	Diarrhoea	stool	30.5	1666121		Campylobacter jejuni	197	1614
GCF_020719705.1	Peru: Lima	Homo sapiens	Guillain-Barr Syndrome	Fecal swab	30.5	1632055		Campylobacter jejuni	197	1569
GCF_020720025.1	Peru: Lima	Homo sapiens	Guillain-Barr Syndrome	Fecal swab	30.5	1627622		Campylobacter jejuni	197	1567
GCF_020720295.1	Peru: Lima	Homo sapiens	Guillain-Barr Syndrome	Fecal swab	30.5	1627620		Campylobacter jejuni	197	1568
GCF_020720445.1	Peru: Lima	Homo sapiens	Guillain-Barr Syndrome	Fecal swab	30.5	1627619		Campylobacter jejuni	197	1568
GCF_020720575.1	Peru: Lima	Homo sapiens	Guillain-Barr Syndrome	Fecal swab	30.5	1621554		Campylobacter jejuni	197	1565
GCF_020735825.1	Germany: Braunschweig	missing	Unknown	missing	38	1842606		Haemophilus influenzae	727	1656
GCF_020783235.1	N/A	N/A			54.5	4663532		Enterobacter ludwigii	299767	4299
GCF_020783255.1	N/A	N/A			54.5	4763238		Enterobacter ludwigii	299767	4395
GCF_020810655.1					39.5	4041708		Acinetobacter baumannii	470	3716
GCF_021498045.1	China: Guangzhou	fish		feces	50.5	5386204		Escherichia coli	562	4912
GCF_021559695.1	China	Homo sapiens	fever	Eye secretion	39	4072472		Acinetobacter baumannii	470	3789
GCF_021654375.1	Viet Nam:Hanoi				61	5035951		Aeromonas caviae	648	4472
GCF_021733105.1	South Korea: Pohang	Paralichthtys olivaceus (Olive flounder)		missing	59.5	3763397		Edwardsiella piscicida	1263550	3270
GCF_021733145.1	South Korea: Busan	Paralichthtys olivaceus (Olive flounder)		missing	59.5	3819771		Edwardsiella piscicida	1263550	3333
GCF_021899715.1	Germany	Homo sapiens			39	4363296		Acinetobacter baumannii	470	4017
GCF_022220305.1	USA:North Carolina			Fly	30	1749575		Campylobacter jejuni subsp. jejuni	32022	1691
GCF_022220325.1	USA:North Carolina			Turkey Cecum	30	1778911		Campylobacter jejuni subsp. jejuni	32022	1732
GCF_022220365.1	USA:North Carolina			Cecum	30.5	1729853		Campylobacter jejuni subsp. jejuni	32022	1663
GCF_022220425.1	USA:North Carolina			Turkey Cecum	30	1834778		Campylobacter jejuni subsp. jejuni	32022	1795
GCF_022343945.1	China: Zhejiang	Homo sapiens	Cerebral infection	cerebrospinal fluid	62	4783384		Aeromonas caviae	648	4274
GCF_022404915.1	Canada	Bos taurus			41	2737524		Mannheimia haemolytica	75985	2453
GCF_022404995.1	Canada	Bos taurus			41	2725784		Mannheimia haemolytica	75985	2408
GCF_022460575.1	Belgium	Homo sapiens			39	3995974		Acinetobacter baumannii	470	3663
GCF_022870105.1	missing	missing	missing	missing	38.5	3409194		Legionella pneumophila subsp. pneumophila	91891	2974
GCF_023206215.1	USA: California			rumen	40	4453070		Butyrivibrio fibrisolvens	831	3671
GCF_023360975.1	China:Zhejiang	Homo sapiens	not collected	blood	39	4237035		Acinetobacter baumannii	470	3994
GCF_023361075.1	China:Zhejiang	Homo sapiens	not collected	blood	39	4170821		Acinetobacter baumannii	470	3889
GCF_023516275.1	USA: Kansas	Bos taurus	missing	feedlot	41	2657959		Mannheimia haemolytica	75985	2566
GCF_023516315.1	missing	Ovis aries	pneumonia	missing	41	2638277		Mannheimia haemolytica	75985	2525
GCF_023516355.1	missing	Bos taurus	bovine respiratory disease	missing	41	2655587		Mannheimia haemolytica	75985	2557
GCF_023517195.1	China: Hangzhou, Sir Run Run Shaw Hospital ICU			Bed controller_P22_BU23	39	4213949		Acinetobacter baumannii	470	3992
GCF_023517235.1	China: Hangzhou, Sir Run Run Shaw Hospital ICU	Homo sapiens	not applicable	Rectal swab_P87_BU24	39	4072975		Acinetobacter baumannii	470	3717
GCF_023517695.1	China: Hangzhou, Sir Run Run Shaw Hospital ICU	Homo sapiens	not applicable	Rectal swab_P131_BU4	39	4160315		Acinetobacter baumannii	470	3888
GCF_024266955.1	China: Wuhan			sediment	61.5	3681770		Glutamicibacter mysorens	257984	3335
GCF_024267655.1	France: Roscoff			seawater	28.5	3154193		Arcobacter roscoffensis	2961520	2888
GCF_024334005.1	USA:Mississippi			Chicken giblets (Gallus gallus)	30.5	1629343		Campylobacter jejuni	197	1584
GCF_024334025.1	USA:Mississippi			Chicken carcass (Gallus gallus)	30.5	1799648		Campylobacter jejuni	197	1744
GCF_024334045.1	USA:Mississippi			Chicken gizzard (Gallus gallus)	30.5	1762450		Campylobacter jejuni	197	1695
GCF_024362185.1	China:Shandong			poultry farm	59.5	3679307		Glutamicibacter mishrai	1775880	3356
GCF_024398575.1	USA: Catalina harbor, Catalina CA				47	2834848		Idiomarina loihiensis	135577	2629
GCF_024584665.1	Canada	Homo sapiens	infant botulism	Fecal sample from infant botulism case	28	4086687		Clostridium botulinum	1491	3665
GCF_024917375.1	USA: Houston	Homo sapiens	Bacteremia	blood	50.5	5337629		Escherichia coli	562	4876
GCF_025152605.1	South Korea: Busan			chicken	30.5	1797348		Campylobacter jejuni	197	1740
GCF_025232235.1	Finland	Homo sapiens			30	1708928		Campylobacter jejuni	197	1646
GCF_025232495.1	Finland	Homo sapiens			30	1833697		Campylobacter jejuni	197	1818
GCF_025790865.1	USA	missing	missing	stool	30.5	1714517		Campylobacter jejuni	197	1658
GCF_025946585.1	China	Homo sapiens	Tuberculosis	urine	50.5	5573675		Escherichia coli	562	5155
GCF_026013965.1	India: Arabian Sea			sediment	64.5	3741678		Brevibacterium sp. JSBI002	2886045	3236
GCF_026689395.1	Nigeria			missing	38.5	3400965		Legionella pneumophila	446	2964
GCF_026689415.1	Guinea			missing	38.5	3461893		Legionella pneumophila	446	3000
GCF_026689435.1	Guinea			missing	38.5	3471815		Legionella pneumophila	446	3003
GCF_026689455.1	United Arab Emirates			missing	38.5	3332865		Legionella pneumophila	446	2899
GCF_026689475.1	Albania			missing	38.5	3409121		Legionella pneumophila	446	2951
GCF_026689495.1	Uganda			missing	38.5	3359777		Legionella pneumophila	446	2916
GCF_026802075.1	South Korea: Incheon Sinseon Reservoir	Betula schmidtii			72	3176212		Brevibacterium sp. BRM-1	2999062	2686
GCF_026968085.1	USA: Dallas, Texas	Homo sapiens	Urinary Tract Infection	urine	50.5	5044943		Escherichia coli	562	4648
GCF_027286265.1	State of Palestine:Hebron			not provided	38.5	3467907		Legionella pneumophila	446	3023
GCF_027943665.1	Japan:Osaka	Homo sapiens	infant botulism		28	4138332		Clostridium botulinum	1491	3777
GCF_028201555.1	India: Arabian Sea			sediment	63	4212116		Brevibacterium sp. BDJS002	3020906	3740
GCF_028416655.1	Canada	Homo sapiens	botulism	Fecal sample from botulism case	28	4180934		Clostridium botulinum	1491	3862
GCF_028416675.1	Canada	Homo sapiens	botulism	Fecal sample from botulism case	28	4180934		Clostridium botulinum	1491	3862
GCF_028416695.1	Canada			Pate collected as part of botulism investigation	28	4170326		Clostridium botulinum	1491	3850
GCF_028622235.1	Poland: North-East	Columba livia			50	4956801		Escherichia albertii	208962	4505
GCF_028752675.1	Australia	chicken	avian colibacillosis	Tissue	50.5	5280305		Escherichia coli	562	4875
GCF_029223565.1	China: Hangzhou	Homo sapiens			39	4072982		Acinetobacter baumannii	470	3716
GCF_029536635.1	Czech Republic	Homo sapiens		feces	50.5	5161491		Escherichia coli	562	4751
GCF_029718885.1	United Kingdom			Pooled sediment sample collected from floor of poultry farm	54.5	5067008		Enterobacter ludwigii	299767	4719
GCF_029762435.1	China:Fujian	swine		lung	39.5	2570710		Glaesserella parasuis	738	2400
GCF_029773345.1	Taiwan: Hospital	Homo sapiens	infection	plasma	58.5	4535906		Aeromonas veronii	654	3855
GCF_029773665.1	Germany	horse			40.5	2427723		Actinobacillus equuli subsp. haemolyticus	202948	2140
GCF_029773745.1	Belgium	horse			40.5	2412648		Actinobacillus equuli subsp. haemolyticus	202948	2148
GCF_029773785.1	Belgium	horse			40.5	2343520		Actinobacillus equuli subsp. equuli	202947	2073
GCF_029773835.1	Belgium	horse			40.5	2345183		Actinobacillus equuli subsp. equuli	202947	2066
GCF_029773855.1	Belgium	horse			40.5	2394597		Actinobacillus equuli subsp. haemolyticus	202948	2004
GCF_029773875.1	Belgium	horse			40.5	2394455		Actinobacillus equuli subsp. haemolyticus	202948	1995
GCF_029773895.1	Belgium	horse			40.5	2346964		Actinobacillus equuli subsp. haemolyticus	202948	2093
GCF_029774095.1	Belgium	horse			40.5	2402576		Actinobacillus equuli subsp. equuli	202947	2116
GCF_029774115.1	Belgium	horse			40.5	2394310		Actinobacillus equuli subsp. haemolyticus	202948	2116
GCF_029774195.1	China: Hangzhou	Homo sapiens			39	4236288		Acinetobacter baumannii	470	3895
GCF_029910255.1	USA: sanford, colorado			Hybrid Striped Bass	59.5	3877239		Edwardsiella piscicida	1263550	3391
GCF_029910275.1	USA: sanford, colorado			Hybrid Striped Bass	59.5	3877096		Edwardsiella piscicida	1263550	3388
GCF_030059825.1	Canada: Saskatchewan	Bos taurus			39.5	2249793		Mannheimia bovis	2770636	2082
GCF_030060515.1	Georgia				59	4009892		Edwardsiella anguillarum	1821960	3437
GCF_030060635.1	Costa Rica				58.5	4296008		Edwardsiella anguillarum	1821960	3745
GCF_030060725.1	Colombia				58.5	4197974		Edwardsiella anguillarum	1821960	3633
GCF_030060745.1	USA: Maryland				59	4087258		Edwardsiella anguillarum	1821960	3540
GCF_030060765.1	USA: Maryland				59	4087263		Edwardsiella anguillarum	1821960	3527
GCF_030060785.1	USA: Maryland				59	4087265		Edwardsiella anguillarum	1821960	3539
GCF_030060805.1	USA: Maryland				59	4087581		Edwardsiella anguillarum	1821960	3531
GCF_030060825.1	USA: Maryland				59	4009955		Edwardsiella anguillarum	1821960	3433
GCF_030272215.1	South Korea: Jeju	Paralichthys olivaceus	Edwardsiellosis	Spleen of diseased olive flounder	59.5	3820891		Edwardsiella piscicida	1263550	3332
GCF_030296775.1	Japan	Homo sapiens			44	3111590		Claveliimonas bilis	3028070	2894
GCF_030515435.1	Finland	Homo sapiens	sepsis/meningeal involvement	blood	50.5	4996041		Escherichia coli	562	4542
GCF_030664655.1	USA			Retail chicken	30.5	1789447		Campylobacter jejuni	197	1759
GCF_031349165.1	USA	Homo sapiens	missing	stool	30.5	1733516		Campylobacter jejuni	197	1691
GCF_031587895.1	USA	Homo sapiens	missing	stool	30.5	1733516		Campylobacter jejuni	197	1690
GCF_031623015.1	USA	missing	missing	missing	30.5	1733514		Campylobacter jejuni	197	1693
GCF_031664795.1	Japan	Homo sapiens	None	feces	50.5	5267191		Escherichia coli	562	4813
GCF_031665995.1	Japan	Homo sapiens	None	feces	50.5	5350174		Escherichia coli	562	4885
GCF_031676495.1	USA	missing	missing	missing	30.5	1731453		Campylobacter jejuni	197	1689
GCF_031787095.1	Argentina: Buenos Aires	Homo sapiens	Infection	abscess	50.5	5536423		Escherichia coli	562	5142
GCF_032041175.1	USA	missing	missing	missing	30.5	1729391		Campylobacter jejuni	197	1689
GCF_033096825.1	India:Kolkata	Homo sapiens	diarrhea	feces	30.5	1759483		Campylobacter jejuni	197	1668
GCF_033096985.1	India:Kolkata	Homo sapiens	diarrhea	feces	30.5	1768898		Campylobacter jejuni	197	1731
GCF_033097045.1	India:Kolkata	Homo sapiens	diarrhea	feces	30.5	1718159		Campylobacter jejuni	197	1669
GCF_033097065.1	India:Kolkata	Homo sapiens	diarrhea	feces	30	1797337		Campylobacter jejuni	197	1748
GCF_033097105.1	India:Kolkata	Homo sapiens	diarrhea	feces	30.5	1794024		Campylobacter jejuni	197	1712
