target_ID	accession_1	tlen	query_ID	accession_2	qlen	e_value_seq	score_seq	bias_seq	#	of	c_value	i_value	score_dom	bias_dom	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	description	View_kpsD_ncbi_40_complete$target_ID
GCF_000801145.1_protein.faa_WP_039195917.1	-	385	kpsD_final_mafft	-	594	4e-37	124.9	3.3	1	1	2.6e-40	5.7e-37	124.4	3.3	122	341	72	307	9	330	0.86	-	GCF_000801145.1_protein.faa_WP_039195917.1
GCF_008124085.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.6e-186	618.2	1.3	1	1	2.6e-189	4e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_008124085.1_protein.faa_WP_001331697.1
GCF_008124085.1_protein.faa_WP_109545503.1	-	379	kpsD_final_mafft	-	594	4.1e-34	116	2.7	1	1	6.7e-37	1e-33	114.7	2.7	121	363	71	346	1	354	0.84	-	GCF_008124085.1_protein.faa_WP_109545503.1
GCF_022493815.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.4e-186	618.2	1.3	1	1	2.6e-189	3.8e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_022493815.1_protein.faa_WP_001331697.1
GCF_022493815.1_protein.faa_WP_000978107.1	-	379	kpsD_final_mafft	-	594	4.1e-34	116	2.7	1	1	7e-37	1e-33	114.6	2.7	122	363	72	346	1	354	0.84	-	GCF_022493815.1_protein.faa_WP_000978107.1
GCF_017356785.1_protein.faa_WP_002856463.1	-	552	kpsD_final_mafft	-	594	2.9e-179	593.9	15.5	1	1	2e-182	3.2e-179	593.7	15.5	49	579	1	552	1	552	0.89	-	GCF_017356785.1_protein.faa_WP_002856463.1
GCF_017900955.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.5e-186	618.2	1.3	1	1	3.4e-189	3.9e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_017900955.1_protein.faa_WP_001331697.1
GCF_017900955.1_protein.faa_WP_000978107.1	-	379	kpsD_final_mafft	-	594	4.2e-34	116	2.7	1	1	9.3e-37	1.1e-33	114.6	2.7	122	363	72	346	1	354	0.84	-	GCF_017900955.1_protein.faa_WP_000978107.1
GCF_004924295.1_protein.faa_WP_002803309.1	-	543	kpsD_final_mafft	-	594	3.9e-177	586.8	13.8	1	1	2.8e-180	4.4e-177	586.6	13.8	49	579	1	543	1	543	0.9	-	GCF_004924295.1_protein.faa_WP_002803309.1
GCF_905071835.1_protein.faa_WP_001298258.1	-	558	kpsD_final_mafft	-	594	3.8e-186	618.2	1.3	1	1	2.6e-189	4.3e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_905071835.1_protein.faa_WP_001298258.1
GCF_905071835.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.9e-34	115.9	2.8	1	1	7.8e-37	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_905071835.1_protein.faa_WP_000978094.1
GCF_017356865.1_protein.faa_WP_002856463.1	-	552	kpsD_final_mafft	-	594	2.8e-179	593.9	15.5	1	1	2e-182	3.1e-179	593.7	15.5	49	579	1	552	1	552	0.89	-	GCF_017356865.1_protein.faa_WP_002856463.1
GCF_024125695.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.8e-186	618.2	1.3	1	1	2.6e-189	4.2e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_024125695.1_protein.faa_WP_001331697.1
GCF_024125695.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.8e-34	115.9	2.8	1	1	7.8e-37	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_024125695.1_protein.faa_WP_000978094.1
GCF_027945035.1_protein.faa_WP_001298258.1	-	558	kpsD_final_mafft	-	594	3.6e-186	618.2	1.3	1	1	3.4e-189	4e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_027945035.1_protein.faa_WP_001298258.1
GCF_027945035.1_protein.faa_WP_000978098.1	-	379	kpsD_final_mafft	-	594	5e-34	115.7	2.9	1	1	1.1e-36	1.3e-33	114.3	2.9	122	363	72	346	1	353	0.84	-	GCF_027945035.1_protein.faa_WP_000978098.1
GCF_012934475.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.7e-186	618.2	1.3	1	1	2.6e-189	4.1e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_012934475.1_protein.faa_WP_001331697.1
GCF_012934475.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.7e-34	115.9	2.8	1	1	7.8e-37	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_012934475.1_protein.faa_WP_000978094.1
GCF_001687475.2_protein.faa_WP_066777617.1	-	552	kpsD_final_mafft	-	594	7.1e-178	589.1	15.8	1	1	5.6e-181	7.9e-178	588.9	15.8	49	578	1	551	1	552	0.87	-	GCF_001687475.2_protein.faa_WP_066777617.1
GCF_031623015.1_protein.faa_WP_002851485.1	-	552	kpsD_final_mafft	-	594	5.7e-179	592.9	15.7	1	1	3.8e-182	6.4e-179	592.8	15.7	49	579	1	552	1	552	0.89	-	GCF_031623015.1_protein.faa_WP_002851485.1
GCF_004307315.1_protein.faa_WP_002779229.1	-	543	kpsD_final_mafft	-	594	4.1e-176	583.5	13.6	1	1	2.8e-179	4.6e-176	583.3	13.6	49	579	1	543	1	543	0.9	-	GCF_004307315.1_protein.faa_WP_002779229.1
GCF_003286935.1_protein.faa_WP_005713699.1	-	384	kpsD_final_mafft	-	594	1.9e-35	119.3	3.7	1	1	1.5e-38	3.3e-35	118.5	3.7	129	342	79	309	64	331	0.88	-	GCF_003286935.1_protein.faa_WP_005713699.1
GCF_033097285.1_protein.faa_WP_002856463.1	-	552	kpsD_final_mafft	-	594	2.8e-179	593.9	15.5	1	1	2e-182	3.1e-179	593.7	15.5	49	579	1	552	1	552	0.89	-	GCF_033097285.1_protein.faa_WP_002856463.1
GCF_023824315.1_protein.faa_WP_252220656.1	-	368	kpsD_final_mafft	-	594	3.9e-27	92.4	4.4	1	1	4.3e-30	6.6e-27	91.6	4.1	130	367	77	344	62	351	0.85	-	GCF_023824315.1_protein.faa_WP_252220656.1
GCF_023824315.1_protein.faa_WP_252220724.1	-	367	kpsD_final_mafft	-	594	4.6e-26	88.8	5.3	1	1	5.3e-29	8.2e-26	88	5.3	129	367	76	344	10	351	0.85	-	GCF_023824315.1_protein.faa_WP_252220724.1
GCF_033097245.1_protein.faa_WP_002934751.1	-	552	kpsD_final_mafft	-	594	6.1e-179	592.8	15.6	1	1	4.1e-182	6.8e-179	592.7	15.6	49	579	1	552	1	552	0.89	-	GCF_033097245.1_protein.faa_WP_002934751.1
GCF_020718885.1_protein.faa_WP_002855298.1	-	552	kpsD_final_mafft	-	594	1.7e-180	597.9	15.8	1	1	1.2e-183	1.9e-180	597.8	15.8	49	579	1	552	1	552	0.89	-	GCF_020718885.1_protein.faa_WP_002855298.1
GCF_020719145.1_protein.faa_WP_002855298.1	-	552	kpsD_final_mafft	-	594	1.7e-180	597.9	15.8	1	1	1.2e-183	1.9e-180	597.8	15.8	49	579	1	552	1	552	0.89	-	GCF_020719145.1_protein.faa_WP_002855298.1
GCF_029773685.1_protein.faa_WP_039195917.1	-	385	kpsD_final_mafft	-	594	4e-37	124.9	3.3	1	1	2.6e-40	5.7e-37	124.4	3.3	122	341	72	307	9	330	0.86	-	GCF_029773685.1_protein.faa_WP_039195917.1
GCF_003368185.1_protein.faa_WP_115791426.1	-	552	kpsD_final_mafft	-	594	1.5e-178	591.6	16	1	1	9.6e-182	1.6e-178	591.4	16	49	579	1	552	1	552	0.89	-	GCF_003368185.1_protein.faa_WP_115791426.1
GCF_002891845.2_protein.faa_WP_014325759.1	-	387	kpsD_final_mafft	-	594	7.9e-38	127.2	0.3	1	1	1.2e-40	1.3e-37	126.5	0.3	126	337	78	305	55	338	0.88	-	GCF_002891845.2_protein.faa_WP_014325759.1
GCF_900638195.1_protein.faa_WP_002894124.1	-	552	kpsD_final_mafft	-	594	8e-179	592.4	15.3	1	1	5.5e-182	8.9e-179	592.2	15.3	49	579	1	552	1	552	0.9	-	GCF_900638195.1_protein.faa_WP_002894124.1
GCF_029536635.1_protein.faa_WP_001298258.1	-	558	kpsD_final_mafft	-	594	3.7e-186	618.2	1.3	1	1	2.6e-189	4.1e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_029536635.1_protein.faa_WP_001298258.1
GCF_029536635.1_protein.faa_WP_000978080.1	-	379	kpsD_final_mafft	-	594	5.4e-34	115.7	2.8	1	1	9.1e-37	1.4e-33	114.3	2.8	122	363	72	346	2	354	0.87	-	GCF_029536635.1_protein.faa_WP_000978080.1
GCF_030035285.1_protein.faa_WP_002851485.1	-	552	kpsD_final_mafft	-	594	5.6e-179	592.9	15.7	1	1	3.8e-182	6.2e-179	592.8	15.7	49	579	1	552	1	552	0.89	-	GCF_030035285.1_protein.faa_WP_002851485.1
GCF_014522225.1_protein.faa_WP_001606112.1	-	558	kpsD_final_mafft	-	594	3.4e-186	618.2	1.4	1	1	4.1e-189	3.8e-186	618.1	1.4	58	578	8	557	1	558	0.87	-	GCF_014522225.1_protein.faa_WP_001606112.1
GCF_014522225.1_protein.faa_WP_113383219.1	-	379	kpsD_final_mafft	-	594	1.7e-39	133.8	1.6	1	1	2.4e-42	2.2e-39	133.4	1.6	114	365	68	346	1	356	0.8	-	GCF_014522225.1_protein.faa_WP_113383219.1
GCF_014522225.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.5e-34	115.9	2.8	1	1	1.3e-36	1.2e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_014522225.1_protein.faa_WP_000978094.1
GCF_013393805.1_protein.faa_WP_002781121.1	-	552	kpsD_final_mafft	-	594	4.1e-180	596.7	15	1	1	2.7e-183	4.6e-180	596.6	15	49	579	1	552	1	552	0.9	-	GCF_013393805.1_protein.faa_WP_002781121.1
GCF_007833255.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.8e-186	618.2	1.3	1	1	2.6e-189	4.2e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_007833255.1_protein.faa_WP_001331697.1
GCF_007833255.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.9e-34	115.9	2.8	1	1	7.8e-37	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_007833255.1_protein.faa_WP_000978094.1
GCF_033097105.1_protein.faa_WP_317647908.1	-	552	kpsD_final_mafft	-	594	1.3e-178	591.8	15.7	1	1	8.3e-182	1.4e-178	591.7	15.7	49	579	1	552	1	552	0.9	-	GCF_033097105.1_protein.faa_WP_317647908.1
GCF_963674925.1_protein.faa_WP_319502271.1	-	810	kpsD_final_mafft	-	594	3.8e-168	558.6	12	1	4	4.7e-117	7.1e-114	379.4	0.4	54	421	11	467	1	483	0.79	-	GCF_963674925.1_protein.faa_WP_319502271.1
GCF_963674925.1_protein.faa_WP_319502301.1	-	780	kpsD_final_mafft	-	594	1.2e-148	494.2	9.2	1	4	1.6e-104	2.5e-101	338	5.8	49	415	1	455	1	460	0.77	-	GCF_963674925.1_protein.faa_WP_319502301.1
GCF_000019645.1_protein.faa_WP_001332993.1	-	558	kpsD_final_mafft	-	594	7e-186	617.2	1.2	1	1	5e-189	7.8e-186	617.1	1.2	58	578	8	557	1	558	0.87	-	GCF_000019645.1_protein.faa_WP_001332993.1
GCF_000019645.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.6e-34	115.9	2.8	1	1	7.8e-37	1.2e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_000019645.1_protein.faa_WP_000978094.1
GCF_017900995.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.5e-186	618.2	1.3	1	1	3.4e-189	3.9e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_017900995.1_protein.faa_WP_001331697.1
GCF_017900995.1_protein.faa_WP_000978107.1	-	379	kpsD_final_mafft	-	594	4.2e-34	116	2.7	1	1	9.3e-37	1.1e-33	114.6	2.7	122	363	72	346	1	354	0.84	-	GCF_017900995.1_protein.faa_WP_000978107.1
GCF_034642955.1_protein.faa_WP_001298258.1	-	558	kpsD_final_mafft	-	594	3.6e-186	618.2	1.3	1	1	2.6e-189	4e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_034642955.1_protein.faa_WP_001298258.1
GCF_034642955.1_protein.faa_WP_000978080.1	-	379	kpsD_final_mafft	-	594	5.4e-34	115.7	2.8	1	1	9.1e-37	1.4e-33	114.3	2.8	122	363	72	346	2	354	0.87	-	GCF_034642955.1_protein.faa_WP_000978080.1
GCF_014169915.1_protein.faa_WP_001301060.1	-	558	kpsD_final_mafft	-	594	1.1e-185	616.6	1.4	1	1	7.6e-189	1.2e-185	616.5	1.4	58	578	8	557	1	558	0.87	-	GCF_014169915.1_protein.faa_WP_001301060.1
GCF_014169915.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.8e-34	115.9	2.8	1	1	7.8e-37	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_014169915.1_protein.faa_WP_000978094.1
GCF_002005305.1_protein.faa_WP_077753841.1	-	919	kpsD_final_mafft	-	594	1e-149	497.9	13.7	1	2	9.2e-106	2.4e-102	341.5	3.4	49	462	5	535	1	579	0.71	-	GCF_002005305.1_protein.faa_WP_077753841.1
GCF_002005305.1_protein.faa_WP_077753751.1	-	357	kpsD_final_mafft	-	594	6.9e-32	108.8	0.8	1	1	7.3e-35	1.9e-31	107.4	0.8	125	361	65	318	50	323	0.85	-	GCF_002005305.1_protein.faa_WP_077753751.1
GCF_013882995.1_protein.faa_WP_096756579.1	-	379	kpsD_final_mafft	-	594	4.2e-35	119.2	2.4	1	1	7.6e-38	1.1e-34	117.8	2.4	130	363	83	346	65	355	0.86	-	GCF_013882995.1_protein.faa_WP_096756579.1
GCF_013882995.1_protein.faa_WP_096756031.1	-	185	kpsD_final_mafft	-	594	2.2e-30	103.6	0.1	1	2	5.4e-19	7.6e-16	55.6	0	128	206	32	113	20	115	0.92	-	GCF_013882995.1_protein.faa_WP_096756031.1
GCF_001280405.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.6e-186	618.2	1.3	1	1	2.6e-189	4e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_001280405.1_protein.faa_WP_001331697.1
GCF_001280405.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.7e-34	115.9	2.8	1	1	7.8e-37	1.2e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_001280405.1_protein.faa_WP_000978094.1
GCF_001280385.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.5e-186	618.2	1.3	1	1	2.6e-189	3.9e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_001280385.1_protein.faa_WP_001331697.1
GCF_001280385.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.5e-34	115.9	2.8	1	1	7.8e-37	1.2e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_001280385.1_protein.faa_WP_000978094.1
GCF_014058665.1_protein.faa_WP_010906973.1	-	387	kpsD_final_mafft	-	594	9.5e-38	126.8	0.4	1	1	1.6e-40	1.6e-37	126.1	0.4	126	337	78	305	57	336	0.88	-	GCF_014058665.1_protein.faa_WP_010906973.1
GCF_017357085.1_protein.faa_WP_002894124.1	-	552	kpsD_final_mafft	-	594	8.1e-179	592.4	15.3	1	1	5.5e-182	9e-179	592.2	15.3	49	579	1	552	1	552	0.9	-	GCF_017357085.1_protein.faa_WP_002894124.1
GCF_001636035.1_protein.faa_WP_063517115.1	-	901	kpsD_final_mafft	-	594	2.3e-149	496.7	9.9	1	2	6.1e-102	9.5e-99	329.5	6.3	55	443	10	500	1	563	0.75	-	GCF_001636035.1_protein.faa_WP_063517115.1
GCF_001636035.1_protein.faa_WP_023584498.1	-	372	kpsD_final_mafft	-	594	4.5e-42	142.3	0.5	1	1	3.7e-45	5.8e-42	142	0.5	124	364	72	339	5	350	0.86	-	GCF_001636035.1_protein.faa_WP_023584498.1
GCF_001636035.1_protein.faa_WP_005463089.1	-	177	kpsD_final_mafft	-	594	6.7e-20	69.1	0.8	1	1	1.6e-22	2.4e-19	67.2	0.7	115	258	15	157	11	171	0.88	-	GCF_001636035.1_protein.faa_WP_005463089.1
GCF_029773665.1_protein.faa_WP_279437259.1	-	385	kpsD_final_mafft	-	594	3.2e-37	125.2	2.1	1	1	4.4e-40	4.7e-37	124.6	2.1	122	337	72	304	5	326	0.86	-	GCF_029773665.1_protein.faa_WP_279437259.1
GCF_028752675.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.7e-186	618.2	1.3	1	1	2.6e-189	4.1e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_028752675.1_protein.faa_WP_001331697.1
GCF_028752675.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.8e-34	115.9	2.8	1	1	7.8e-37	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_028752675.1_protein.faa_WP_000978094.1
GCF_009649035.1_protein.faa_WP_002781121.1	-	552	kpsD_final_mafft	-	594	4.2e-180	596.7	15	1	1	2.7e-183	4.7e-180	596.6	15	49	579	1	552	1	552	0.9	-	GCF_009649035.1_protein.faa_WP_002781121.1
GCF_023658305.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.8e-186	618.2	1.3	1	1	2.6e-189	4.2e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_023658305.1_protein.faa_WP_001331697.1
GCF_023658305.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.9e-34	115.9	2.8	1	1	7.8e-37	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_023658305.1_protein.faa_WP_000978094.1
GCF_000830865.1_protein.faa_WP_002851485.1	-	552	kpsD_final_mafft	-	594	5.4e-179	592.9	15.7	1	1	3.8e-182	6.1e-179	592.8	15.7	49	579	1	552	1	552	0.89	-	GCF_000830865.1_protein.faa_WP_002851485.1
GCF_016458845.1_protein.faa_WP_002856463.1	-	552	kpsD_final_mafft	-	594	3e-179	593.9	15.5	1	1	2e-182	3.3e-179	593.7	15.5	49	579	1	552	1	552	0.89	-	GCF_016458845.1_protein.faa_WP_002856463.1
GCF_029773895.1_protein.faa_WP_279471865.1	-	385	kpsD_final_mafft	-	594	3.2e-37	125.1	1.9	1	1	4.6e-40	4.8e-37	124.6	1.9	122	337	72	304	5	324	0.86	-	GCF_029773895.1_protein.faa_WP_279471865.1
GCF_001721985.1_protein.faa_WP_042963175.1	-	552	kpsD_final_mafft	-	594	8e-180	595.8	15.2	1	1	5.1e-183	9e-180	595.7	15.2	49	579	1	552	1	552	0.9	-	GCF_001721985.1_protein.faa_WP_042963175.1
GCF_000439255.1_protein.faa_WP_000978072.1	-	379	kpsD_final_mafft	-	594	1.9e-34	117	2.6	1	1	1.8e-37	3.9e-34	116	2.6	121	363	71	346	1	355	0.85	-	GCF_000439255.1_protein.faa_WP_000978072.1
GCF_002068175.1_protein.faa_WP_010906973.1	-	387	kpsD_final_mafft	-	594	1e-37	126.8	0.4	1	1	1.6e-40	1.7e-37	126.1	0.4	126	337	78	305	57	336	0.88	-	GCF_002068175.1_protein.faa_WP_010906973.1
GCF_022439445.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.3e-186	618.2	1.3	1	1	4.3e-189	3.6e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_022439445.1_protein.faa_WP_001331697.1
GCF_022439445.1_protein.faa_WP_001295357.1	-	379	kpsD_final_mafft	-	594	2.9e-39	132.9	1.4	1	1	4.4e-42	3.8e-39	132.5	1.4	114	365	68	346	1	356	0.8	-	GCF_022439445.1_protein.faa_WP_001295357.1
GCF_022439445.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.2e-34	115.9	2.8	1	1	1.3e-36	1.1e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_022439445.1_protein.faa_WP_000978094.1
GCF_000304375.1_protein.faa_WP_002851485.1	-	552	kpsD_final_mafft	-	594	5.4e-179	592.9	15.7	1	1	3.8e-182	6.1e-179	592.8	15.7	49	579	1	552	1	552	0.89	-	GCF_000304375.1_protein.faa_WP_002851485.1
GCF_023205935.1_protein.faa_WP_228084319.1	-	890	kpsD_final_mafft	-	594	1.3e-148	494.2	12.5	1	2	5.4e-102	8.6e-99	329.7	7.7	57	443	12	495	1	554	0.75	-	GCF_023205935.1_protein.faa_WP_228084319.1
GCF_023205935.1_protein.faa_WP_025520508.1	-	700	kpsD_final_mafft	-	594	1.7e-94	315.5	10.9	1	5	3.8e-35	6.2e-32	108.9	3.3	129	286	25	182	18	195	0.92	-	GCF_023205935.1_protein.faa_WP_025520508.1
GCF_023205935.1_protein.faa_WP_005463089.1	-	177	kpsD_final_mafft	-	594	7e-20	69.1	0.8	1	1	1.6e-22	2.5e-19	67.2	0.7	115	258	15	157	11	171	0.88	-	GCF_023205935.1_protein.faa_WP_005463089.1
GCF_020720445.1_protein.faa_WP_002855298.1	-	552	kpsD_final_mafft	-	594	1.7e-180	597.9	15.8	1	1	1.2e-183	1.9e-180	597.8	15.8	49	579	1	552	1	552	0.89	-	GCF_020720445.1_protein.faa_WP_002855298.1
GCF_030060725.1_protein.faa_WP_283293446.1	-	183	kpsD_final_mafft	-	594	4.5e-25	85.8	0	1	1	2.4e-28	8.6e-25	84.9	0	129	285	32	179	20	181	0.91	-	GCF_030060725.1_protein.faa_WP_283293446.1
GCF_019754275.1_protein.faa_WP_014325759.1	-	387	kpsD_final_mafft	-	594	8.2e-38	127.2	0.3	1	1	1.2e-40	1.3e-37	126.5	0.3	126	337	78	305	55	338	0.88	-	GCF_019754275.1_protein.faa_WP_014325759.1
GCF_020616475.1_protein.faa_WP_001295357.1	-	379	kpsD_final_mafft	-	594	3.2e-39	132.9	1.4	1	1	3.5e-42	4.1e-39	132.5	1.4	114	365	68	346	1	356	0.8	-	GCF_020616475.1_protein.faa_WP_001295357.1
GCF_020616475.1_protein.faa_WP_203116983.1	-	379	kpsD_final_mafft	-	594	6.1e-34	115.5	3.2	1	1	1.3e-36	1.6e-33	114.1	3.2	122	363	72	346	1	355	0.85	-	GCF_020616475.1_protein.faa_WP_203116983.1
GCF_030347075.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.9e-186	618.2	1.3	1	1	2.6e-189	4.3e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_030347075.1_protein.faa_WP_001331697.1
GCF_030347075.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.9e-34	115.9	2.8	1	1	7.8e-37	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_030347075.1_protein.faa_WP_000978094.1
GCF_028748045.1_protein.faa_WP_112063023.1	-	384	kpsD_final_mafft	-	594	1.4e-35	119.8	3.5	1	1	2.2e-38	2.4e-35	119	3.5	129	342	79	309	62	331	0.88	-	GCF_028748045.1_protein.faa_WP_112063023.1
GCF_031589515.1_protein.faa_WP_010906973.1	-	387	kpsD_final_mafft	-	594	9.8e-38	126.8	0.4	1	1	1.6e-40	1.6e-37	126.1	0.4	126	337	78	305	57	336	0.88	-	GCF_031589515.1_protein.faa_WP_010906973.1
GCF_019916005.1_protein.faa_WP_005723127.1	-	387	kpsD_final_mafft	-	594	9.8e-38	127.1	0.4	1	1	1.3e-40	1.6e-37	126.4	0.4	126	337	78	305	57	338	0.88	-	GCF_019916005.1_protein.faa_WP_005723127.1
GCF_002180275.1_protein.faa_WP_001295357.1	-	379	kpsD_final_mafft	-	594	3.4e-39	132.9	1.4	1	1	3.5e-42	4.3e-39	132.5	1.4	114	365	68	346	1	356	0.8	-	GCF_002180275.1_protein.faa_WP_001295357.1
GCF_002180275.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.8e-34	115.9	2.8	1	1	1e-36	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_002180275.1_protein.faa_WP_000978094.1
GCF_011044315.1_protein.faa_WP_021112145.1	-	384	kpsD_final_mafft	-	594	1.1e-35	120.1	3.1	1	1	1.8e-38	1.9e-35	119.3	3.1	129	342	79	309	66	331	0.89	-	GCF_011044315.1_protein.faa_WP_021112145.1
GCF_003952785.1_protein.faa_WP_213072654.1	-	360	kpsD_final_mafft	-	594	1.4e-26	90.6	4.8	1	1	5.4e-30	1.8e-26	90.3	4.8	129	364	76	333	48	343	0.88	-	GCF_003952785.1_protein.faa_WP_213072654.1
GCF_003076395.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.8e-186	618.2	1.3	1	1	2.6e-189	4.2e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_003076395.1_protein.faa_WP_001331697.1
GCF_003076395.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.8e-34	115.9	2.8	1	1	7.8e-37	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_003076395.1_protein.faa_WP_000978094.1
GCF_016757655.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.5e-186	618.2	1.3	1	1	2.6e-189	3.9e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_016757655.1_protein.faa_WP_001331697.1
GCF_016757655.1_protein.faa_WP_000978107.1	-	379	kpsD_final_mafft	-	594	4.2e-34	116	2.7	1	1	7e-37	1.1e-33	114.6	2.7	122	363	72	346	1	354	0.84	-	GCF_016757655.1_protein.faa_WP_000978107.1
GCF_029773765.1_protein.faa_WP_279438600.1	-	385	kpsD_final_mafft	-	594	2.1e-37	125.8	3.1	1	1	2.8e-40	3e-37	125.3	3.1	122	341	72	307	5	330	0.85	-	GCF_029773765.1_protein.faa_WP_279438600.1
GCF_001686905.1_protein.faa_WP_002856463.1	-	552	kpsD_final_mafft	-	594	2.9e-179	593.9	15.5	1	1	2e-182	3.3e-179	593.7	15.5	49	579	1	552	1	552	0.89	-	GCF_001686905.1_protein.faa_WP_002856463.1
GCF_001721885.1_protein.faa_WP_014325759.1	-	387	kpsD_final_mafft	-	594	8.1e-38	127.2	0.3	1	1	1.2e-40	1.3e-37	126.5	0.3	126	337	78	305	55	338	0.88	-	GCF_001721885.1_protein.faa_WP_014325759.1
GCF_022439465.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.3e-186	618.2	1.3	1	1	4.3e-189	3.6e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_022439465.1_protein.faa_WP_001331697.1
GCF_022439465.1_protein.faa_WP_001295357.1	-	379	kpsD_final_mafft	-	594	2.9e-39	132.9	1.4	1	1	4.4e-42	3.8e-39	132.5	1.4	114	365	68	346	1	356	0.8	-	GCF_022439465.1_protein.faa_WP_001295357.1
GCF_022439465.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.2e-34	115.9	2.8	1	1	1.3e-36	1.1e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_022439465.1_protein.faa_WP_000978094.1
GCF_003324755.1_protein.faa_WP_000978077.1	-	379	kpsD_final_mafft	-	594	6e-34	115.6	3.7	1	1	5.8e-37	1.4e-33	114.3	3.7	121	363	71	346	1	355	0.83	-	GCF_003324755.1_protein.faa_WP_000978077.1
